"filename", "language", "JavaScript", "Markdown", "JSON", "YAML", "comment", "blank", "total"
"e:\DiscordBot\cmds\language\setlang.js", "JavaScript", 125, 0, 0, 0, 33, 14, 172
"e:\DiscordBot\cmds\level\addNewLevel.js", "JavaScript", 93, 0, 0, 0, 0, 10, 103
"e:\DiscordBot\cmds\level\getLevel.js", "JavaScript", 34, 0, 0, 0, 69, 6, 109
"e:\DiscordBot\cmds\level\levelinfo.js", "JavaScript", 38, 0, 0, 0, 24, 7, 69
"e:\DiscordBot\cmds\level\userlevels.json", "JSON", 0, 0, 25, 0, 0, 0, 25
"e:\DiscordBot\cmds\misc\addMeme.js", "JavaScript", 72, 0, 0, 0, 6, 8, 86
"e:\DiscordBot\cmds\misc\allMemes.js", "JavaScript", 33, 0, 0, 0, 10, 1, 44
"e:\DiscordBot\cmds\misc\banner.js", "JavaScript", 28, 0, 0, 0, 0, 1, 29
"e:\DiscordBot\cmds\misc\botinvite.js", "JavaScript", 27, 0, 0, 0, 1, 2, 30
"e:\DiscordBot\cmds\misc\closePoll.js", "JavaScript", 56, 0, 0, 0, 4, 4, 64
"e:\DiscordBot\cmds\misc\currentWeek.js", "JavaScript", 61, 0, 0, 0, 12, 5, 78
"e:\DiscordBot\cmds\misc\cursedname.js", "JavaScript", 49, 0, 0, 0, 1, 7, 57
"e:\DiscordBot\cmds\misc\dice.js", "JavaScript", 49, 0, 0, 0, 0, 1, 50
"e:\DiscordBot\cmds\misc\emotes.js", "JavaScript", 280, 0, 0, 0, 4, 2, 286
"e:\DiscordBot\cmds\misc\event.js", "JavaScript", 73, 0, 0, 0, 1, 5, 79
"e:\DiscordBot\cmds\misc\hi.js", "JavaScript", 46, 0, 0, 0, 1, 2, 49
"e:\DiscordBot\cmds\misc\howgay.js", "JavaScript", 61, 0, 0, 0, 3, 7, 71
"e:\DiscordBot\cmds\misc\invites.js", "JavaScript", 40, 0, 0, 0, 1, 9, 50
"e:\DiscordBot\cmds\misc\meme.js", "JavaScript", 41, 0, 0, 0, 61, 11, 113
"e:\DiscordBot\cmds\misc\memeDB.js", "JavaScript", 26, 0, 0, 0, 0, 3, 29
"e:\DiscordBot\cmds\misc\ping.js", "JavaScript", 26, 0, 0, 0, 0, 2, 28
"e:\DiscordBot\cmds\misc\pinguser.js", "JavaScript", 32, 0, 0, 0, 0, 1, 33
"e:\DiscordBot\cmds\misc\poll.js", "JavaScript", 114, 0, 0, 0, 2, 15, 131
"e:\DiscordBot\cmds\misc\quiz.js", "JavaScript", 44, 0, 0, 0, 1, 3, 48
"e:\DiscordBot\cmds\misc\reddit.js", "JavaScript", 43, 0, 0, 0, 0, 2, 45
"e:\DiscordBot\cmds\misc\rgbembed.js", "JavaScript", 48, 0, 0, 0, 1, 2, 51
"e:\DiscordBot\cmds\misc\serverinvite.js", "JavaScript", 39, 0, 0, 0, 8, 3, 50
"e:\DiscordBot\cmds\misc\stealidentity.js", "JavaScript", 39, 0, 0, 0, 0, 5, 44
"e:\DiscordBot\cmds\misc\temporary-message.js", "JavaScript", 15, 0, 0, 0, 0, 2, 17
"e:\DiscordBot\cmds\music\music.js", "JavaScript", 511, 0, 0, 0, 98, 74, 683
"e:\DiscordBot\cmds\music\playrecord.js", "JavaScript", 35, 0, 0, 0, 0, 5, 40
"e:\DiscordBot\cmds\music\playsound.js", "JavaScript", 76, 0, 0, 0, 9, 15, 100
"e:\DiscordBot\cmds\music\record.js", "JavaScript", 50, 0, 0, 0, 6, 11, 67
"e:\DiscordBot\cmds\prefix\set-prefix.js", "JavaScript", 28, 0, 0, 0, 0, 2, 30
"e:\DiscordBot\cmds\reaction\OSrolereact.js", "JavaScript", 95, 0, 0, 0, 6, 15, 116
"e:\DiscordBot\cmds\reaction\boticons.js", "JavaScript", 33, 0, 0, 0, 1, 1, 35
"e:\DiscordBot\cmds\reaction\createEmoji.js", "JavaScript", 29, 0, 0, 0, 0, 2, 31
"e:\DiscordBot\cmds\reaction\emojiCharacters.js", "JavaScript", 107, 0, 0, 0, 0, 0, 107
"e:\DiscordBot\cmds\reaction\first-message.js", "JavaScript", 26, 0, 0, 0, 0, 2, 28
"e:\DiscordBot\cmds\reaction\programmingrolereact.js", "JavaScript", 66, 0, 0, 0, 5, 17, 88
"e:\DiscordBot\cmds\reaction\reactMessage.js", "JavaScript", 36, 0, 0, 0, 0, 9, 45
"e:\DiscordBot\cmds\reaction\reactionrole.js", "JavaScript", 75, 0, 0, 0, 0, 22, 97
"e:\DiscordBot\cmds\reaction\reactionrolergb.js", "JavaScript", 61, 0, 0, 0, 3, 15, 79
"e:\DiscordBot\cmds\reaction\rolergb.js", "JavaScript", 23, 0, 0, 0, 0, 3, 26
"e:\DiscordBot\cmds\reaction\set-reaction-roles.js", "JavaScript", 88, 0, 0, 0, 0, 14, 102
"e:\DiscordBot\cmds\reaction\set-reaction.js", "JavaScript", 53, 0, 0, 0, 0, 6, 59
"e:\DiscordBot\cmds\reaction\shop-react.js", "JavaScript", 49, 0, 0, 0, 3, 4, 56
"e:\DiscordBot\cmds\reaction\stealemoji.js", "JavaScript", 43, 0, 0, 0, 0, 5, 48
"e:\DiscordBot\cmds\stats\botinfo.js", "JavaScript", 79, 0, 0, 0, 2, 4, 85
"e:\DiscordBot\cmds\stats\commandStats.js", "JavaScript", 76, 0, 0, 0, 2, 5, 83
"e:\DiscordBot\cmds\stats\emojilist.js", "JavaScript", 39, 0, 0, 0, 0, 5, 44
"e:\DiscordBot\cmds\stats\github.js", "JavaScript", 64, 0, 0, 0, 0, 1, 65
"e:\DiscordBot\cmds\stats\msgleaderboard.js", "JavaScript", 37, 0, 0, 0, 0, 3, 40
"e:\DiscordBot\cmds\stats\profile.js", "JavaScript", 128, 0, 0, 0, 5, 19, 152
"e:\DiscordBot\cmds\stats\rolelist.js", "JavaScript", 29, 0, 0, 0, 0, 6, 35
"e:\DiscordBot\cmds\stats\serverinfo.js", "JavaScript", 84, 0, 0, 0, 15, 6, 105
"e:\DiscordBot\cmds\stats\serverlist.js", "JavaScript", 25, 0, 0, 0, 0, 2, 27
"e:\DiscordBot\cmds\stats\setVersion.js", "JavaScript", 38, 0, 0, 0, 0, 10, 48
"e:\DiscordBot\cmds\stats\version.js", "JavaScript", 22, 0, 0, 0, 0, 5, 27
"e:\DiscordBot\cmds\test\capitalizeRandomLetter.js", "JavaScript", 46, 0, 0, 0, 0, 7, 53
"e:\DiscordBot\cmds\test\command-base.js", "JavaScript", 0, 0, 0, 0, 187, 0, 187
"e:\DiscordBot\cmds\test\load-commands.js", "JavaScript", 28, 0, 0, 0, 1, 7, 36
"e:\DiscordBot\cmds\test\messagemenu.js", "JavaScript", 78, 0, 0, 0, 1, 5, 84
"e:\DiscordBot\cmds\test\svgToPng.js", "JavaScript", 0, 0, 0, 0, 24, 0, 24
"e:\DiscordBot\cmds\test\twitchbrawlhalla.js", "JavaScript", 55, 0, 0, 0, 0, 6, 61
"e:\DiscordBot\cmds\test\userpresence.js", "JavaScript", 33, 0, 0, 0, 1, 5, 39
"e:\DiscordBot\cmds\test\webhook.js", "JavaScript", 36, 0, 0, 0, 1, 4, 41
"e:\DiscordBot\config.json", "JSON", 0, 0, 10, 0, 0, 0, 10
"e:\DiscordBot\economy.js", "JavaScript", 97, 0, 0, 0, 4, 19, 120
"e:\DiscordBot\events\ArkRaidAlert.js", "JavaScript", 51, 0, 0, 0, 1, 2, 54
"e:\DiscordBot\events\interactionCreate.js", "JavaScript", 17, 0, 0, 0, 0, 4, 21
"e:\DiscordBot\filters\autoStaffSwearFilter.js", "JavaScript", 42, 0, 0, 0, 1, 3, 46
"e:\DiscordBot\filters\swearfilter.js", "JavaScript", 52, 0, 0, 0, 3, 11, 66
"e:\DiscordBot\filters\swearwords.json", "JSON", 0, 0, 11, 0, 0, 0, 11
"e:\DiscordBot\levels.js", "JavaScript", 130, 0, 0, 0, 36, 30, 196
"e:\DiscordBot\main.js", "JavaScript", 150, 0, 0, 0, 67, 69, 286
"e:\DiscordBot\mongo.js", "JavaScript", 19, 0, 0, 0, 2, 9, 30
"e:\DiscordBot\package-lock.json", "JSON", 0, 0, 35995, 0, 0, 1, 35996
"e:\DiscordBot\package.json", "JSON", 0, 0, 83, 0, 0, 1, 84
"e:\DiscordBot\schemas\coins-leaderboard-schema.js", "JavaScript", 9, 0, 0, 0, 0, 4, 13
"e:\DiscordBot\schemas\command-prefix-schema.js", "JavaScript", 12, 0, 0, 0, 1, 2, 15
"e:\DiscordBot\schemas\command-schema.js", "JavaScript", 19, 0, 0, 0, 0, 4, 23
"e:\DiscordBot\schemas\inventory-schema.js", "JavaScript", 25, 0, 0, 0, 1, 3, 29
"e:\DiscordBot\schemas\kick-schema.js", "JavaScript", 16, 0, 0, 0, 0, 2, 18
"e:\DiscordBot\schemas\language-schema.js", "JavaScript", 10, 0, 0, 0, 0, 3, 13
"e:\DiscordBot\schemas\meme-count-schema.js", "JavaScript", 13, 0, 0, 0, 0, 4, 17
"e:\DiscordBot\schemas\message-count-schema.js", "JavaScript", 20, 0, 0, 0, 0, 1, 21
"e:\DiscordBot\schemas\mute-schema.js", "JavaScript", 23, 0, 0, 0, 0, 4, 27
"e:\DiscordBot\schemas\playlist-schema.js", "JavaScript", 16, 0, 0, 0, 0, 3, 19
"e:\DiscordBot\schemas\poll-schema.js", "JavaScript", 24, 0, 0, 0, 0, 4, 28
"e:\DiscordBot\schemas\profileschema.js", "JavaScript", 34, 0, 0, 0, 0, 3, 37
"e:\DiscordBot\schemas\quiz-schema.js", "JavaScript", 12, 0, 0, 0, 0, 2, 14
"e:\DiscordBot\schemas\reaction-roles-schema.js", "JavaScript", 23, 0, 0, 0, 0, 2, 25
"e:\DiscordBot\schemas\rules-schema.js", "JavaScript", 23, 0, 0, 0, 0, 3, 26
"e:\DiscordBot\schemas\settings-schema.js", "JavaScript", 49, 0, 0, 0, 0, 2, 51
"e:\DiscordBot\schemas\shop-schema.js", "JavaScript", 25, 0, 0, 0, 1, 3, 29
"e:\DiscordBot\schemas\swear-schema.js", "JavaScript", 16, 0, 0, 0, 0, 2, 18
"e:\DiscordBot\schemas\swearfilter-schema.js", "JavaScript", 12, 0, 0, 0, 0, 2, 14
"e:\DiscordBot\schemas\testSchema.js", "JavaScript", 8, 0, 0, 0, 0, 3, 11
"e:\DiscordBot\schemas\warn-schema.js", "JavaScript", 16, 0, 0, 0, 0, 2, 18
"e:\DiscordBot\schemas\welcome-schema.js", "JavaScript", 11, 0, 0, 0, 0, 3, 14
"Total", "-", 12442, 69, 37197, 50, 1749, 1517, 53024
